Team,Matches,Points,GF,GA
Arsenal ARS,38,85,71,27
Man City MCI,38,78,77,35
Man United MUN,38,71,69,50
Aston Villa AVL,38,65,56,49
Liverpool LIV,38,60,63,53
Bournemouth BOU,38,57,58,54
Sunderland SUN,38,54,42,48
Brighton Hove BHA,38,53,52,46
Brentford BRE,38,53,55,52
Chelsea CHE,38,52,58,52
Fulham FUL,38,52,47,51
Newcastle NEW,38,49,53,55
Everton EVE,38,49,47,50
Leeds United LEE,38,47,49,56
Crystal Palace CRY,38,45,41,51
Nottingham NOT,38,44,48,51
Tottenham TOT,38,41,48,57
West Ham WHU,38,39,46,65
Burnley BUR,38,22,38,75
Wolverhampton WOL,38,20,27,68
