name,goals_for,goals_against,home_goals_for,away_goals_for
Manchester City,77,35,45,32
Arsenal,71,27,41,30
Manchester United,69,50,39,30
Liverpool,63,53,34,29
AFC Bournemouth,58,49,29,29
Chelsea,58,52,26,32
Aston Villa,56,49,32,24
Brentford,55,44,33,22
Newcastle United,53,41,36,17
Brighton & Hove Albion,52,46,30,22
Leeds United,49,56,29,20
Nottingham Forest,48,51,20,28
Tottenham Hotspur,48,57,22,26
Everton,47,50,26,21
Fulham,47,45,30,17
West Ham United,46,58,27,19
Sunderland,42,39,25,17
Crystal Palace,41,41,19,22
Burnley,38,56,18,20
Wolverhampton Wanderers,27,52,19,8
